,time,lat,lon,Temperature,Variable,SSP
8,2040-09-01 12:00:00,22.0,91.0,1.1200000047683716,Anomaly of near-surface air temperature relative to 1995-2014,SSP245
8,2040-09-01 12:00:00,22.0,91.0,29.010000228881836,Near-surface air temperature,SSP245
8,2040-09-01 12:00:00,22.0,91.0,29.549999237060497,Hi35 heat index 35 degc and higher,SSP245
8,2040-09-01 12:00:00,22.0,91.0,29.799999237060497,Hi35 heat index 35 degc and higher,SSP585
8,2040-09-01 12:00:00,22.0,91.0,1.2100000381469727,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP585
9,2040-10-01 12:00:00,22.0,91.0,31.0,Tr tropical nights,SSP585
9,2040-10-01 12:00:00,22.0,91.0,1.059999942779541,Anomaly of near-surface air temperature relative to 1995-2014,SSP245
9,2040-10-01 12:00:00,22.0,91.0,28.81999969482422,Near-surface air temperature,SSP585
9,2040-10-01 12:00:00,22.0,91.0,0.8299999833106995,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP245
9,2040-10-01 12:00:00,22.0,91.0,31.079999923706055,Daily maximum near-surface air temperature,SSP585
9,2040-10-01 12:00:00,22.0,91.0,17.049999237060497,Hi35 heat index 35 degc and higher,SSP585
9,2040-10-01 12:00:00,22.0,91.0,0.0,Anomaly of tr tropical nights relative to 1995-2014,SSP245
9,2040-10-01 12:00:00,22.0,91.0,31.0,Tr tropical nights,SSP245
9,2040-10-01 12:00:00,22.0,91.0,0.0,Anomaly of tr tropical nights relative to 1995-2014,SSP585
9,2040-10-01 12:00:00,22.0,91.0,15.89999961853029,Hi35 heat index 35 degc and higher,SSP245
9,2040-10-01 12:00:00,22.0,91.0,30.739999771118164,Daily maximum near-surface air temperature,SSP245
9,2040-10-01 12:00:00,22.0,91.0,1.440000057220459,Anomaly of near-surface air temperature relative to 1995-2014,SSP585
9,2040-10-01 12:00:00,22.0,91.0,1.1699999570846558,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP585
9,2040-10-01 12:00:00,22.0,91.0,28.440000534057617,Near-surface air temperature,SSP245
10,2040-11-01 12:00:00,22.0,91.0,1.2599999904632568,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP245
10,2040-11-01 12:00:00,22.0,91.0,28.399999618530288,Tr tropical nights,SSP245
10,2040-11-01 12:00:00,22.0,91.0,29.450000762939492,Tr tropical nights,SSP585
10,2040-11-01 12:00:00,22.0,91.0,1.7999999523162842,Anomaly of near-surface air temperature relative to 1995-2014,SSP585
10,2040-11-01 12:00:00,22.0,91.0,26.040000915527344,Near-surface air temperature,SSP245
10,2040-11-01 12:00:00,22.0,91.0,26.6200008392334,Near-surface air temperature,SSP585
10,2040-11-01 12:00:00,22.0,91.0,0.5,Hi35 heat index 35 degc and higher,SSP585
10,2040-11-01 12:00:00,22.0,91.0,1.7200000286102295,Anomaly of daily maximum near-surface air temperature relative to 1995-2014,SSP585
10,2040-11-01 12:00:00,22.0,91.0,0.5500000119208912,Hi35 heat index 35 degc and higher,SSP245
10,2040-11-01 12:00:00,22.0,91.0,29.1200008392334,Daily maximum near-surface air temperature,SSP245
10,2040-11-01 12:00:00,22.0,91.0,4.949999809265092,Anomaly of tr tropical nights relative to 1995-2014,SSP585
10,2040-11-01 12:00:00,22.0,91.0,3.9000000953673957,Anomaly of tr tropical nights relative to 1995-2014,SSP245
10,2040-11-01 12:00:00,22.0,91.0,1.2200000286102295,Anomaly of near-surface air temperature relative to 1995-2014,SSP245
10,2040-11-01 12:00:00,22.0,91.0,29.579999923706055,Daily maximum near-surface air temperature,SSP585
