,flood_file_name,Year,SSP,Return period,Road length flooded more than 15cm,Percentage of road flooded more than 15cm,Road length flooded more than 50cm,Percentage of road flooded more than 50cm,Road length flooded more than 85cm,Percentage of road flooded more than 85cm,Road length flooded more than 120cm,Percentage of road flooded more than 120cm,Road length flooded more than 155cm,Percentage of road flooded more than 155cm,Road length flooded more than 190cm,Percentage of road flooded more than 190cm,Road length flooded more than 225cm,Percentage of road flooded more than 225cm,Road length flooded more than 260cm,Percentage of road flooded more than 260cm,Road length flooded more than 295cm,Percentage of road flooded more than 295cm,Road length flooded more than 330cm,Percentage of road flooded more than 330cm,Road length flooded more than 365cm,Percentage of road flooded more than 365cm
58, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2050_1in1000_,2050,SSP3,1000,1127040,67.68277303354591,920460,55.276907001044925,791790,47.54981443447555,677160,40.66587395957193,580050,34.834071992217055,489870,29.41844124959464,414570,24.896407595575255,353010,21.199509962886896,313860,18.848412784203507,278490,16.724318091737832,232170,13.942636832054193
59, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2050_1in20_,2050,SSP3,20,318600,19.133066695492378,173340,10.409685439411955,98940,5.941699996396786,54180,3.253702302453789,12390,0.7440637048247036,2430,0.14593016971138256,420,0.025222498468634023,90,0.005404821100421576,0,0.0,0,0.0,0,0.0
60, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2050_1in200_,2050,SSP3,200,805680,48.38395849097395,542760,32.59467444960905,422670,25.382841494613196,351780,21.125644074514465,307680,18.477281735307894,269700,16.19644723092999,215460,12.939141714409253,153150,9.197203905884049,85620,5.141786473534393,44190,2.653767160306994,5820,0.34951176449392857
61, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2050_1in5_,2050,SSP3,5,77070,4.628328468994343,18840,1.1314092170215833,7350,0.4413937232010954,1680,0.1008899938745361,150,0.009008035167369293,30,0.0018016070334738589,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
62, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2050_1in50_,2050,SSP3,50,493050,29.609411595142866,309330,18.57637012214896,257400,15.457788347205708,192450,11.557309119734803,123990,7.446041869347458,71430,4.289626346701258,31620,1.8988938132814472,3090,0.18556552444780744,180,0.010809642200843152,60,0.0036032140669477178,30,0.0018016070334738589
63, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP3_2050_1in500_,2050,SSP3,500,959520,57.62259935862789,780090,46.84718769142075,641580,38.52916801787194,541770,32.53522141750441,451080,27.088963355312938,371790,22.327315965841528,320310,19.23575829640039,283710,17.03779771556228,239940,14.409253053723923,176700,10.611465427161027,112290,6.7434151262926525
64, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2050_1in10_,2050,SSP5,10,180450,10.836666306345261,89430,5.370590566785573,35070,2.1060786221309407,7590,0.45580657946888625,1920,0.11530285014232697,330,0.019817677368212445,60,0.0036032140669477178,0,0.0,0,0.0,0,0.0,0,0.0
65, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2050_1in100_,2050,SSP5,100,634980,38.13281447050769,397830,23.89111087089684,330900,19.871725579216662,293790,17.6431376788095,248670,14.933520700464815,183540,11.022231830793068,119460,7.173999207292906,66270,3.9797499369437537,26430,1.5872157964904696,2640,0.15854141894569956,180,0.010809642200843152
66, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2050_1in1000_,2050,SSP5,1000,1137600,68.31693870932872,938370,56.352466400028824,806610,48.43980830901164,693270,41.6333369365474,596130,35.799733362159046,502890,30.20033870212229,429420,25.78820307714481,363960,21.85709653010485,322110,19.34385471840882,286290,17.19273592044103,246420,14.798400172954276
67, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2050_1in20_,2050,SSP5,20,330780,19.864519151082767,189810,11.398767700789104,109350,6.566857637012215,61260,3.6788815623536197,18420,1.1061867185529493,2790,0.16754945411306887,540,0.03242892660252946,90,0.005404821100421576,0,0.0,0,0.0,0,0.0
68, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2050_1in200_,2050,SSP5,200,816810,49.052354700392755,565800,33.97830865131697,446340,26.80430944402407,361680,21.72017439556084,314220,18.870032068605198,277140,16.643245775231506,227790,13.67960220516701,163980,9.847584044968112,94500,5.675062155442655,50820,3.0519223147047168,11160,0.6701978164522755
69, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2050_1in5_,2050,SSP5,5,85830,5.154397722768709,20580,1.235902424963067,8070,0.48463229200446795,1920,0.11530285014232697,360,0.021619284401686305,60,0.0036032140669477178,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
70, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2050_1in50_,2050,SSP5,50,501900,30.140885670017653,316260,18.992541346881417,266400,15.998270457247866,205440,12.337404965228984,139500,8.377472705653442,79980,4.803084351241307,40380,2.4249630670558138,4620,0.27744748315497425,510,0.030627319569055598,90,0.005404821100421576,30,0.0018016070334738589
71, flood_file_name floods_mosaiced_max_cropped_popdynamics_Chittagong_SSP5_2050_1in500_,2050,SSP5,500,973590,58.46755305732714,798300,47.94076316073938,665700,39.97766007278493,561270,33.70626598926243,466560,28.01859258458545,385320,23.13984073793824,328440,19.723993802471803,291540,17.508017151298958,253170,15.203761755485893,190500,11.440204662559003,131670,7.907253269916765
