,time,lat,lon,Precipitation,Variable,SSP
9,2040-10-01 12:00:00,22.0,91.0,35.97999954223633,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP585
9,2040-10-01 12:00:00,22.0,91.0,190.36000061035156,Maximum of 5-day cumulative precipitation,SSP245
9,2040-10-01 12:00:00,22.0,91.0,0.0,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP585
9,2040-10-01 12:00:00,22.0,91.0,135.39999389648438,Precipitation,SSP245
9,2040-10-01 12:00:00,22.0,91.0,0.44999998807909725,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP585
9,2040-10-01 12:00:00,22.0,91.0,-16.459999084472656,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP245
9,2040-10-01 12:00:00,22.0,91.0,0.25,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP245
9,2040-10-01 12:00:00,22.0,91.0,25.3799991607666,Anomaly of precipitation relative to 1995-2014,SSP585
10,2040-11-01 12:00:00,22.0,91.0,-0.050000000745092595,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP245
10,2040-11-01 12:00:00,22.0,91.0,0.0,R50mm very heavy precipitation days,SSP245
10,2040-11-01 12:00:00,22.0,91.0,37.68000030517578,Precipitation,SSP245
10,2040-11-01 12:00:00,22.0,91.0,105.91999816894531,Maximum of 5-day cumulative precipitation,SSP245
10,2040-11-01 12:00:00,22.0,91.0,160.97000122070312,Maximum of 5-day cumulative precipitation,SSP585
10,2040-11-01 12:00:00,22.0,91.0,0.5,R20mm heavy precipitation days,SSP585
10,2040-11-01 12:00:00,22.0,91.0,-16.3700008392334,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP245
10,2040-11-01 12:00:00,22.0,91.0,0.1000000014900926,Anomaly of r20mm heavy precipitation days relative to 1995-2014,SSP585
10,2040-11-01 12:00:00,22.0,91.0,-3.049999952316284,Anomaly of precipitation relative to 1995-2014,SSP245
10,2040-11-01 12:00:00,22.0,91.0,-0.050000000745092595,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP245
10,2040-11-01 12:00:00,22.0,91.0,0.050000000745092595,Anomaly of r50mm very heavy precipitation days relative to 1995-2014,SSP585
10,2040-11-01 12:00:00,22.0,91.0,0.1000000014900926,R50mm very heavy precipitation days,SSP585
10,2040-11-01 12:00:00,22.0,91.0,46.08000183105469,Precipitation,SSP585
10,2040-11-01 12:00:00,22.0,91.0,38.68000030517578,Anomaly of maximum of 5-day cumulative precipitation relative to 1995-2014,SSP585
10,2040-11-01 12:00:00,22.0,91.0,5.349999904632568,Anomaly of precipitation relative to 1995-2014,SSP585
10,2040-11-01 12:00:00,22.0,91.0,0.3499999940394907,R20mm heavy precipitation days,SSP245
11,2040-12-01 12:00:00,22.0,91.0,0.0,R50mm very heavy precipitation days,SSP585
11,2040-12-01 12:00:00,22.0,91.0,87.33000183105469,Maximum of 5-day cumulative precipitation,SSP245
