element_type,osmid,amenity,name,geometry,wikidata,addr:city,addr:district,building,name:en,website,operator,building:levels,name:bn,wikipedia,addr:postcode,addr:street,level,name:ur,wikimedia_commons,addr:housenumber,opening_hours,nodes,designation,office,addr:housename,internet_access,source,access,surface,area,operator:type,religion,grades,ways,type,ward5wknn,index,points,rank,value
node,11265910535,school,"Little Bees English School, Port Connecting Rd, Chattogram",POINT (91.7897735 22.3333871),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11265926713,school,"Ethos International School, Port Connecting Rd, Chattogram",POINT (91.7906337 22.3319551),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11265937804,school,"Child Heaven Day-Care School, Port Connecting Rd, Chattogram",POINT (91.7908125 22.3305925),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11265942827,college,"College of Dentistry, Port Connecting Rd, Chattogram",POINT (91.7893534 22.3293513),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11265951101,school,"Shaheen school, Maa Bhaban (3rd Floor), 37/1, Chattogram",POINT (91.7901431 22.329812),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11265952704,school,"Chattogram Trust School, Port Connecting Rd, Chattogram",POINT (91.7906537 22.3305709),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11265952705,school,"Day Care Scientific School And College, Boropole Rd, Chattogram",POINT (91.79016 22.3303673),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11265955416,school,ARPEGGIO Music School,POINT (91.7905933 22.3300704),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11265980270,school,Arif's Education Point,POINT (91.7899282 22.3298336),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
node,11265997989,school,"S. N. A. International School,Halishahar Rd, Chattogram",POINT (91.7917905 22.3288262),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,north,5,3.12
